kepid,KOI,period,phase,tau,snr,snrd_pvalue,holczer
9022166,2175.01,26.847509624248207,21.628848324962465,0.2060627483761536,41.059267465204016,0.007815610112924,False
10797460,752.02,54.41818278795562,31.001658731318223,0.0906967319793664,24.497022227581777,0.2836463236679563,False
6851425,163.01,11.119864235297896,8.240731092475283,0.0668476462782845,103.5572298948518,0.0607606683562967,False
5561278,1621.01,20.310407717557307,5.974222047668765,0.1091189131020631,41.8627400307399,0.003355303208811,False
7761545,1472.01,85.3511216240439,29.49493628786988,0.1324297812119925,142.31175393264127,6.563063059683573e-08,True
5456651,835.01,11.763031341506183,2.372028685816278,0.0590493674635256,59.35336222424127,0.0767099602423757,False
10227020,730.01,14.787226037111749,0.9258819783783332,0.1311555221564657,50.16531981878758,0.0013047438824961,True
8612847,1264.01,14.131679566503854,10.74910957542596,0.0763249238187739,40.33829155681244,0.7508030017695787,False
8822216,581.02,151.86378413358395,11.800377922809588,0.1747487864692103,14.918404522643645,0.4645087488419512,False
2975770,1788.02,369.0581958044864,38.15763399242961,0.1165920635734542,15.145270527048243,0.5274635562893495,False
7373451,881.02,226.8894912963227,75.84852109179776,0.1416270343820777,36.30144481449673,4.329869796038111e-15,False
8611257,2931.01,99.25255507943464,17.021563215253153,0.1226859004839047,17.414193649230157,0.0572730428332894,False
11288051,241.02,30.95035721354195,22.33788109576451,0.0979366118572108,30.65431195691744,0.0022280235890441,False
10353968,618.01,9.070948670714628,1.4763001171399348,0.0547588888304227,65.66303629602086,0.2420583201456301,False
8120608,571.02,13.342950866499631,5.362688146424746,0.0556040893966739,44.34712606665429,0.1572179318258261,False
11656246,1532.01,18.114646181727917,15.978997967079636,0.1017201453335727,50.9202572442772,0.1724822306380614,False
6508221,416.01,18.207885323605627,17.914561307771688,0.0748838413753623,160.297174327008,0.5866688559131596,False
4644604,628.01,14.485809507872656,0.0350384306731145,0.0571019106147125,56.15380023317921,0.0904967993830674,False
7303287,1353.01,125.86474585432212,105.14697307372992,0.1693436060033294,308.9199173677869,4.902280803520398e-10,True
9390653,249.01,9.549235141183498,6.047928549596833,0.0317099568854741,113.43092794822276,0.164834747586013,False
3859079,1199.01,53.529104449469415,16.352090215786507,0.1140782049991077,35.082954553620546,0.5540830619968311,False
9141746,929.01,6.4916577773584505,4.869149395485861,0.0810416822442725,549.7825955869204,4.570291300265428e-05,False
10843590,431.02,46.90246169504432,22.78992656268245,0.0792740826048053,36.6545653998999,0.9038688517502078,False
9607164,587.01,14.03484956132206,12.022626756187238,0.0730061883662934,70.76561779315821,0.1767598291617366,False
11027624,1439.01,394.6229150051306,57.30391737438024,0.4790004046317272,117.80616659491632,0.8219997716090218,False
5640085,448.02,43.57497341008192,19.70285857602404,0.1109456983919687,55.00728333748052,0.0,True
8282846,4015.01,133.30270940461588,36.24766825579858,0.1509646934136202,21.36042822692336,0.8376703812272901,False
11017901,1800.01,7.79426714057322,1.1319858881138851,0.0166471600391651,345.29965634906057,0.2080072097378718,False
12735740,3663.01,282.5244626121762,242.53117980807252,0.2050091098439773,445.5915569995935,0.0411511870166244,False
5219234,1563.01,5.487083833206042,3.6788086238673112,0.055678743669484,58.38792926705288,0.122653637042327,False
5364071,248.01,7.203831221303503,2.7536949722864867,0.0516130683754575,105.95480966959371,4.7602356834097754e-08,True
7434875,884.01,9.43942437030853,7.9153362920315535,0.0577125631783203,160.47879603090075,8.448797217397441e-14,False
10130039,1909.01,12.757938973469948,0.6609466252987878,0.0848510971359735,42.57593347801043,0.0016964148195356,False
11176166,5875.01,9.878970667012894,7.945147509755505,0.0574470804372812,22.58921662513933,0.0609049087566629,False
9472000,2082.01,31.588747189057905,24.10338499481583,0.069759247020595,29.035389887788867,0.5411835879567115,False
9597345,711.03,124.52397473250316,122.6645195875442,0.1961104586052685,45.85890796195999,0.0002015248699706,False
8009350,1569.01,13.752038645123363,11.518265284822483,0.055040883802149,39.99271903528543,0.4913496446050575,False
5978559,2321.01,95.61127864241156,6.844597899176519,0.1521541503636709,22.208149125520546,0.3928432197395891,False
7456001,1517.01,40.06852647618192,20.296231615028976,0.1195301823493711,55.17545910599957,0.9888242312622874,False
4143755,281.01,19.55653381774533,9.833965351076513,0.1643537023057171,92.32270102135804,0.4883486314844721,False
1871056,1001.02,140.10676385629714,95.68009370637446,0.3796559271934387,20.012483204949543,0.9961071301902984,False
4472818,3878.01,70.967066918881,62.12860092425856,0.1401847552262235,37.67636941855179,0.6593105416053123,False
7503885,3417.01,91.07685375464352,43.53564715783352,0.1880296424716131,18.96177407758305,0.6866848423003474,False
7870390,898.03,20.09004845675302,16.46832825844758,0.0749831314052602,37.843250039018535,0.0282372328324513,False
5881813,2744.01,109.64503128301388,59.173982163315976,0.1257924241377148,26.435975942667586,0.8849883359216006,False
7021681,255.01,27.521861997243768,3.2672503792095715,0.080515762054433,91.21036527783134,9.247380639010315e-11,False
10934674,477.01,16.542919210154864,5.049976856460682,0.0785107457093425,43.32754911488335,7.935518702151256e-07,False
8644288,137.02,14.858852004395905,7.615111712915212,0.0693810311833476,375.1285569241578,0.0,True
8394721,152.02,27.40222776739138,2.1152961466442277,0.1398700045329537,68.3132189096125,3.4842693078518394e-06,True
8311864,7016.01,384.846131766701,194.4298336185787,0.204574392724114,10.3292502455501,0.6070214745122777,False
7131760,3407.01,92.43659538093516,32.0655581683058,0.109161898464258,16.855376624964784,3.1756745011435334e-08,False
4262581,2122.01,37.64675693995328,29.94908232443636,0.1289768380574677,31.27322045508873,0.959919792086719,False
