TIC,TOI,Period,Phase,Tau,SNR,Radius_planet,Mass,Radius,logg,FEH,Teff,Number of Valid Transits,Has Visible TTVs,log10(p value),μ(SNR | null),σ(SNR | null),Epoch,Duration,err_Period,err_Epoch,err_Duration,Radius_planet_errp,Radius_planet_errm,passed_all_tests,failed_tests,nst_samples
423670610,850.01,10.3435739204655,8.742856346463718,0.0489838943236165,31.70815608476187,9.357,1.04231,1.10026,4.36907,0.0248995,5863.5,3.0,False,-1705.4691071175616,7.13548,0.277464,1394.7176210246994,0.097967788647233,2.138993458095572e-05,0.0011339257077577,0.0015160399741804,0.417,0.403,False,snrd,7.410114|7.268499|7.149454|7.520142|6.658682|7.168925|7.091453|7.315511|7.151858|6.620200
437984134,887.01,5.771076773162663,3.781004126640781,0.0674988985289529,23.70744940415202,3.941,1.59235,2.1128,3.981,-0.147829,7210.16,26.0,False,-91.93010058898548,14.4523,0.454054,1472.089198402217,0.1349977970579058,8.863118469091831e-06,0.0021587453486088,0.0021540081692246,0.186,0.172,False,snrd,13.403335|13.706565|14.653807|14.689381|14.649263|14.696348|14.661736|14.689689|14.673453|14.699107
349488688,2319.02,11.607167250706503,7.686523454283646,0.1200226446555172,14.082456258972924,3.058,1.13714,1.38438,4.2038,-0.176577,6259.6,4.0,False,-23.20427091465164,11.8346,0.224345,1991.327734575432,0.2400452893110344,9.841919161046444e-06,0.0011466319426209,0.0010946055972678,0.177,0.159,False,snrd,11.627420|11.988020|11.787617|11.433023|12.111920|11.792341|12.185453|12.021756|11.700029|11.698776
85293053,1772.01,8.03224959789142,1.2550074152537545,0.1158733365774962,17.678455936316006,2.221,0.994741,0.946074,4.47734,0.120302,5607.78,8.0,False,-151.96703234744646,9.8025,0.299517,1871.7122459277407,0.2317466731549924,2.6081358756884223e-05,0.0018723146702867,0.0024296103110568,0.122,0.111,False,snrd,9.750180|9.639875|9.492537|10.189516|10.052948|10.231366|10.006416|9.769940|9.247685|9.644535
5592720,4986.01,6.592533152432383,3.9364242236280313,0.0497101144914395,14.880672801808988,26.704,1.23741,1.39484,4.22596,-0.0580071,6345.0,3.0,False,-7.08499791425832,4.88099,1.90994,3669.889362834483,0.099420228982879,0.0013630904038405,0.0015932254292949,0.0024048524780424,1.648,1.641,False,snrd,6.370388|5.950567|6.108419|6.180830|5.323644|5.921255|5.625344|4.871371|6.771232|6.336705
307232923,6742.01,8.159607571771495,5.007499088472715,0.1011571711058779,6.05549585450583,10.478,1.04079,1.09679,4.37131,0.0249686,5859.0,3.0,False,-1.368740275567954e-06,7.25496,0.265606,3835.582510956668,0.2023143422117558,0.0029789228627823,0.0044660541335542,0.003216846616516,6.187,6.003,False,snrd,7.289336|7.153528|7.275947|7.464820|7.448304|7.470491|7.289336|7.489561|7.112727|6.555512
100757807,811.01,12.587319841011093,6.68850504773845,0.0841098422474305,40.25065372285418,9.902,1.17401,1.18909,4.35127,0.196818,6066.71,4.0,False,-7937.205192440485,6.494063025489737,0.1765937289799974,2180.940835130599,0.168219684494861,0.0004223047975362,0.0008374383108868,0.0009373555152732,0.458,0.385,False,snrd,6.498810|6.051694|6.498340|6.494995|6.649584|6.374501|6.667463|6.498810|6.494313|6.712121
46020827,7471.01,4.695157692257629,0.1359778116116296,0.0827152235156135,42.27651239932716,9.968,0.989642,0.985563,4.44268,0.0268482,5708.0,4.0,False,-4826.686328694383,7.406354283256375,0.2339495953963365,3775.4370521314336,0.165430447031227,0.0002714868026761,0.0005982778382086,0.0009512574734114,0.431,0.346,False,snrd,7.356237|7.362168|7.330796|7.794292|7.365439|7.896554|7.330799|7.150755|7.145709|7.330794
356747847,1958.01,14.647964681265451,12.536053568362284,0.4706841684785342,13.0437441230014,13.767,1.17907,5.35115,3.05305,-0.0866708,4852.83,9.0,False,-2.2347988607859666,6.61611,2.54797,2346.3975202210054,0.9413683369570685,3.741036748668246e-05,0.0024291328801765,0.003704079664381,0.675,0.604,False,spurious|snrd,1.961270|8.033235|7.944439|8.342988|7.808034|6.656171|8.131304|7.595547|7.771654|8.153646
337217173,7049.01,40.38336966170981,40.36091054412977,0.0334526336957132,11.492270503661285,5.637,0.558276,0.588183,4.64513,-0.0121106,3236.0,1.0,False,-0.0,25.4564,0.0598929,1451.277430479857,0.0669052673914264,inf,inf,inf,0.971,0.936,False,spurious|ntransits,25.471858|25.528660|25.471520|25.527956|25.531118|25.530275|25.357573|25.534766|25.518004|25.514755
367522211,6382.01,35.37129240000001,27.40958627,0.1453098006755145,4.725136557024774,6.34,1.35262,1.50535,4.20095,-0.0844469,6702.0,1.0,False,-5.7097913641438955e-31,7.75262,0.264633,3262.764520761252,0.290619601351029,14.238467580581515,14.23822866040614,0.0080984862032264,0.731,0.773,False,ntransits,7.546193|7.844582|8.313880|7.992894|7.709358|7.421513|7.969436|7.581376|7.684132|7.462851
427320001,2112.02,155.82362868144352,25.2377099086138,0.2952906739227807,21.11538741622696,5.334,1.39026,1.5446,4.20048,-0.230633,7242.0,2.0,False,-23.182363473551344,12.0549,0.904723,1789.9590932587107,0.5905813478455614,0.0019768690231094,0.012166140889707,0.0032621515655896,0.252,0.213,False,ntransits,11.426052|13.036057|11.337483|12.855886|11.698331|12.743614|11.345713|12.712630|10.820272|13.195425
192415680,6041.01,20.260459660726507,5.362535696678034,0.0700910740338225,39.87725181017655,4.291,0.881788,0.862743,4.51301,0.019809,5359.0,3.0,False,-2952.7689863523347,8.644026890149535,0.2679542522454987,1796.0283470711747,0.140182148067645,1.3485266050963436e-05,0.0009925492979138,0.0011791091564916,0.333,0.316,True,,8.505379|8.775762|9.024519|8.617009|8.533019|8.543628|8.063272|9.063419|8.657608|8.656655
92443533,6812.01,6.316285817039764,3.372929950104573,0.0730753666757118,33.997789441496735,13.174,1.07435,1.15892,4.33441,0.0132023,5951.0,4.0,False,-322.6426958481998,6.108267126439803,0.7257662049674711,3886.8268054491327,0.1461507333514236,0.0009209401365993,0.0020108973256408,0.0028819002665338,0.71,0.632,True,,7.003576|5.424746|6.321353|5.297855|6.079856|5.756729|5.783003|7.683770|6.348868|5.382917
67395329,6873.01,9.412597434939222,1.191177553070682,0.0318222982715325,17.656466932897438,3.076,0.905062,0.886175,4.50033,0.0225848,5450.0,3.0,False,-577.7816213173586,6.456601526878137,0.2175218631492072,3236.8411194071064,0.063644596543065,0.0010133056829613,0.0013567783207727,0.001827208418652,0.234,0.224,True,,6.520387|6.523225|6.054654|6.254426|6.523225|6.476980|6.912242|6.254426|6.523225|6.523225
406684949,5442.01,4.23568903808508,2.4924543383911284,0.0225651842180944,14.43563928348896,10.287,0.950863,1.25999,4.20844,-0.392616,6033.11,6.0,False,-16.30294560478458,7.833529492348058,0.7949264353016896,2528.8771767045587,0.0451303684361888,0.0004458022483938,0.0014710289557844,0.0018561633875632,0.659,0.656,True,,8.729019|8.465107|8.976889|7.025478|8.722884|7.296507|6.809057|7.039344|8.035521|7.235490
156514476,6884.01,4.815718664304311,0.9091355282771524,0.0503077238940271,14.94273815356518,10.053,1.10371,1.20417,4.31,-0.0034978,6026.94,3.0,False,-332.87340338090587,5.848576267743198,0.2329715526643755,2641.097897497382,0.1006154477880542,0.0010211715553668,0.001741219631952,0.0027583064175764,0.569,0.567,True,,5.788059|5.472560|5.764808|5.931589|5.807752|6.014412|5.435860|6.012712|6.122898|6.135113
260128333,1338.01,95.17385960486013,55.201082548019365,0.2082426780006785,3.5308078511513648,3.442,1.15611,1.26986,4.28682,-0.00902767,6176.33,8.0,True,-3.883376607519344e-18,31.227,3.25578,1380.5447629083292,0.416485356001357,0.0007954114322914,0.0108231480238266,0.0089866077484496,0.502,0.573,False,spurious,27.427675|29.508971|32.372004|31.093146|27.033293|28.878642|35.608971|29.175800|36.764658|34.406445
