kepid,KOI,period,transit_duration,snr,snrd_pvalue,holczer
9022166,2175.01,26.84762709953793,0.2057298182024637,41.08852140525866,0.008873917140118,False
10797460,752.02,54.41840248461351,0.0908179077823113,24.503243993667475,0.2901277548665965,False
6851425,163.01,11.119909608404216,0.0669066381252959,103.55417563280425,0.0598223045831483,False
5561278,1621.01,20.31048116399636,0.1092646388463823,42.03293029419739,0.0027433519242634,False
7761545,1472.01,85.35145502657258,0.1323896020142984,142.290076685553,6.929288953738677e-08,True
5456651,835.01,11.763069813452953,0.0590333334470769,59.33056908707737,0.0943429859587597,False
10227020,730.01,14.78725879276939,0.1305335488505838,49.9392731063512,0.0014019429821751,True
8612847,1264.01,14.131743496212646,0.0762179127518016,40.06927537084608,0.7504719344604666,False
8822216,581.02,151.86455171187828,0.1747383707999329,14.908420239668738,0.4642154949017555,False
2975770,1788.02,369.0601373021228,0.1165774849254307,15.144520993243583,0.5277529850791971,False
7373451,881.02,226.89031210226645,0.1418524398080989,36.30451056030746,3.6637359812630166e-15,False
8611257,2931.01,99.2529570223744,0.1235330641080283,17.410388630492214,0.0493840579030759,False
11288051,241.02,30.95064010764677,0.0952268924574179,30.63737011133282,0.0028566564435607,False
10353968,618.01,9.070983757642052,0.0546764118693178,65.62678550800248,0.2063865150931595,False
8120608,571.02,13.342993563158448,0.0555249971482636,44.52908691027304,0.1367087489457623,False
11656246,1532.01,18.11473185270063,0.1018914574483361,50.913229366217166,0.1715188810242847,False
6508221,416.01,18.20795644596442,0.0748739320041237,160.28773174324772,0.604447475775269,False
4644604,628.01,14.485848725364342,0.0570500265639687,56.19675730864821,0.0992776195881479,False
7303287,1353.01,125.86526727720543,0.1692352411190366,308.899306814641,4.5584691577005287e-10,True
9390653,249.01,9.549274404870014,0.0317601273715805,113.43755102412432,0.1678209994046712,False
3859079,1199.01,53.52933107673915,0.1144059689786861,35.084675582467845,0.5252210976147411,False
9141746,929.01,6.491681645794269,0.0809863216230831,539.4376433315526,0.0001106118431906,False
10843590,431.02,46.90268658400722,0.0793649841711874,36.64755838825426,0.9031597169045874,False
9607164,587.01,14.034909233876334,0.0727989041962949,70.78933139343717,0.2819982401870502,False
11027624,1439.01,394.6248967851781,0.4790114532690199,117.80655873685588,0.8208636031726354,False
5640085,448.02,43.575134480240926,0.1105231101814159,54.80942019953093,0.0,True
8282846,4015.01,133.3032365203637,0.1510358738107812,21.36207193589529,0.8409613720191842,False
11017901,1800.01,7.794302391014237,0.0164987602996951,345.0979369247577,0.2906631484359429,False
12735740,3663.01,282.5255543813336,0.204908006247932,445.54881306019104,0.0417224348807644,False
5219234,1563.01,5.487107540305473,0.0556071492964178,58.024425486952914,0.0850267829787065,False
5364071,248.01,7.203858941874449,0.0517135667112786,105.90928427846606,2.2955014555847693e-09,True
